,imagecol,imagerow
cell_1,1002.02,2109.26
cell_2,1002.49,1445.74
cell_3,1002.55,1611.1
cell_4,1002.75,936.51
cell_5,1003.88,1123.71
cell_6,1004.17,1207.33
cell_7,1005.26,1500.49
cell_8,1005.29,1526.89
cell_9,1006.16,1640.36
cell_10,1006.39,1137.29
cell_11,1008.03,1479.4
cell_12,1008.21,1364.23
cell_13,1008.7,1297.95
cell_14,1009.25,1267.05
cell_15,1010.05,1190.93
cell_16,1011.27,1586.43
cell_17,1012.24,1146.5
cell_18,1012.77,2158.44
cell_19,1013.87,1277.22
cell_20,1013.98,1212.81
cell_21,1014.12,1165.9
cell_22,1014.87,2146.95
cell_23,1015.45,1442.33
cell_24,1015.72,2119.07
cell_25,1015.93,1426.63
cell_26,1015.94,1312.96
cell_27,1017.18,1252.54
cell_28,1019.1,1235.43
cell_29,1021.17,1617.6
cell_30,1021.38,948.63
cell_31,1021.95,1627.84
cell_32,1022.15,1143.94
cell_33,1022.4,1395.33
cell_34,1022.76,1324.74
cell_35,1022.79,1198.03
cell_36,1024.14,1219.7
cell_37,1024.32,1130.96
cell_38,1026.66,1587.05
cell_39,1027.28,1609.92
cell_40,1030.02,1179.71
cell_41,1030.58,1528.73
cell_42,1031.73,1145.12
cell_43,1031.87,1212.35
cell_44,1033.68,1285.22
cell_45,1033.93,1358.29
cell_46,1034.79,1257.5
cell_47,1036.68,1272.15
cell_48,1037.88,1011.8
cell_49,1038.76,1224.19
cell_50,1039.6,1156
cell_51,1040.01,1199.2
cell_52,1042.88,1608.25
cell_53,1044.59,1140.12
cell_54,1044.97,1551.02
cell_55,1046.34,1626.31
cell_56,1049.17,1295.83
cell_57,1049.45,1585.29
cell_58,105.5,1947.74
cell_59,1051.86,1183.32
cell_60,1051.91,954.68
cell_61,1052,1233.81
cell_62,1052.47,1268.45
cell_63,1052.81,2142.71
cell_64,1053.81,1165.95
cell_65,1054.06,1248.64
cell_66,1054.39,1143.78
cell_67,1057.25,1277.7
cell_68,1058.9,1596.38
cell_69,1059.16,936.8
cell_70,1061.21,1260.12
cell_71,1061.53,1642.36
cell_72,1061.79,1529.5
cell_73,1061.96,1553.39
cell_74,1062.92,1295.86
cell_75,1063.41,1148.45
cell_76,1066.8,1443.49
cell_77,1067.79,1189.26
cell_78,1068.1,1613.35
cell_79,1069.96,2125.08
cell_80,1070.4,1218.8
cell_81,1072.85,1203.4
cell_82,1073.34,1536.29
cell_83,1074.4,1227.97
cell_84,1075.79,1586.91
cell_85,1077.25,1275.05
cell_86,1077.5,1371.16
cell_87,1077.65,928.8
cell_88,1077.83,1153.56
cell_89,1077.86,1567.45
cell_90,1077.97,1554.24
cell_91,1078.33,1009.1
cell_92,1078.7,1116.03
cell_93,1078.88,1332.8
cell_94,1079.42,1621.85
cell_95,1080.74,1127.58
cell_96,1081.17,951.68
cell_97,1081.41,2104.28
cell_98,1081.68,1478.6
cell_99,1082.65,2147
cell_100,1082.66,1490.7
cell_101,1082.91,1407.91
cell_102,1083.32,2556.14
cell_103,1084.95,1163.44
cell_104,1086.3,1610.58
cell_105,1086.39,1257.41
cell_106,1087.52,1131.66
cell_107,1088.81,1234.83
cell_108,1089.1,1171.59
cell_109,1089.45,1352.02
cell_110,1090.29,1201.39
cell_111,1090.92,1138.95
cell_112,1092.17,1288.2
cell_113,1092.68,1675.13
cell_114,1092.94,1148.22
cell_115,1093.1,1646.44
cell_116,1093.8,1472.8
cell_117,1093.96,1552.47
cell_118,1095.86,1182.58
cell_119,1097.58,926.1
cell_120,1100.03,1651.09
cell_121,1100.25,2532.37
cell_122,1101.7,1266.25
cell_123,1102.07,1124.04
cell_124,1102.17,1112.24
cell_125,1104.75,1591.16
cell_126,1104.83,1659.6
cell_127,1104.89,1495.42
cell_128,1106.26,1244.08
cell_129,1106.76,1209.44
cell_130,1107.19,1144.8
cell_131,1107.96,1183.61
cell_132,1108.58,1222.52
cell_133,1109.39,1278.84
cell_134,1109.55,1256.68
cell_135,1109.85,1431.78
cell_136,1110.4,1605.69
cell_137,1111.66,1522.71
cell_138,1112.29,2136.62
cell_139,1113.22,2103.12
cell_140,1114.28,1408.35
cell_141,1115.15,1665.21
cell_142,1116.57,1628.86
cell_143,1116.73,1642.46
cell_144,1117.68,975.26
cell_145,1118.61,1106.33
cell_146,1120.56,1587.44
cell_147,1120.62,1241.89
cell_148,1121.7,206.53
cell_149,1123.64,1268.84
cell_150,1123.85,2127.89
cell_151,1124.99,934.02
cell_152,1125.14,1395.25
cell_153,1125.48,1120.89
cell_154,1127.83,1631.33
cell_155,1127.85,996.41
cell_156,1128.27,1550.34
cell_157,1128.36,1502.21
cell_158,1128.42,1281.8
cell_159,1128.46,1606.32
cell_160,1128.64,1257.99
cell_161,1130.74,1134.07
cell_162,1131.12,1228.02
cell_163,1131.3,1453.16
cell_164,1131.79,1187.57
cell_165,1132.02,1239.11
cell_166,1132.74,1582.41
cell_167,1133.29,1650.34
cell_168,1135.63,1199.96
cell_169,1135.68,1639.47
cell_170,1136.48,1360.87
cell_171,1137.09,1150.89
cell_172,1137.74,2497.9
cell_173,1138.36,1537.41
cell_174,1139.26,2444.24
cell_175,1141.16,1127.35
cell_176,1142.15,273.06
cell_177,1142.86,1110.18
cell_178,1143.11,1222.43
cell_179,1143.55,1429.73
cell_180,1143.96,1599.12
cell_181,1144.19,1253.98
cell_182,1144.46,1619.34
cell_183,1145.02,1192.25
cell_184,1146.2,1173.88
cell_185,1146.5,1271.31
cell_186,1147.5,1571.39
cell_187,1148.66,2108.59
cell_188,1150.9,1634.39
cell_189,1151.91,1245.66
cell_190,1152.15,1553.47
cell_191,1152.89,1210.4
cell_192,1153.27,1229.02
cell_193,1153.58,1105.97
cell_194,1154.21,1582.97
cell_195,1154.42,1183.16
cell_196,1157.16,1279.5
cell_197,1157.2,1142.34
cell_198,1157.42,1507.66
cell_199,1157.93,1095.66
cell_200,1159.28,1268.35
cell_201,1160.07,919.2
cell_202,1160.83,1126.12
cell_203,1161.08,1368.3
cell_204,1162.29,1160.06
cell_205,1163.05,1250.3
cell_206,1163.17,1619.69
cell_207,1166.15,1602.9
cell_208,1166.82,2111.1
cell_209,1167.17,1103.34
cell_210,1167.37,1354.89
cell_211,1168.11,1657.8
cell_212,1168.48,1221.38
cell_213,1169.36,1585.9
cell_214,1171.54,1559.27
cell_215,1171.66,1547.01
cell_216,1171.95,1341.4
cell_217,1172.17,1494.88
cell_218,1172.55,1257.03
cell_219,1174.53,1651.8
cell_220,1174.61,1615.59
cell_221,1175.26,1304.3
cell_222,1175.38,2145.32
cell_223,1175.44,1196.34
cell_224,1176.46,1247.78
cell_225,1177.45,980.09
cell_226,1178.56,1216.53
cell_227,1178.59,1117.81
cell_228,1178.95,1411.77
cell_229,1179.21,1165.26
cell_230,1180.81,1101.79
cell_231,1182.91,1270.64
cell_232,1183.09,1230.43
cell_233,1183.83,1257.19
cell_234,1184.41,2046.62
cell_235,1184.64,1243.12
cell_236,1186.07,1283.73
cell_237,1187.63,1684.1
cell_238,1187.92,1201.97
cell_239,1188.13,1189.59
cell_240,1188.15,1175.24
cell_241,1188.17,1218.64
cell_242,1188.99,1612.47
cell_243,1190.04,1558.82
cell_244,1190.25,1150.19
cell_245,1190.62,1521.72
cell_246,1190.68,1377.62
cell_247,1190.89,1407.63
cell_248,1192.7,899.53
cell_249,1193.16,1589.94
cell_250,1194.48,1478.51
cell_251,1194.66,1637.73
cell_252,1194.82,1290.21
cell_253,1195.79,1117.21
cell_254,1196.52,1622.98
cell_255,1197.39,1570.41
cell_256,1197.42,1664.59
cell_257,1198.22,1219.54
cell_258,1199.09,1606.19
cell_259,1200.55,1177.33
cell_260,1200.76,1233.1
cell_261,1200.89,1257.67
cell_262,1202.67,2163.43
cell_263,1202.75,1157.52
cell_264,1203.58,1125.08
cell_265,1203.94,1530.57
cell_266,1205.52,1208.68
cell_267,1206.27,1664.23
cell_268,1206.39,1264.7
cell_269,1207.28,1247.96
cell_270,1208.06,1464.21
cell_271,1208.54,1327.72
cell_272,1209.21,1642.13
cell_273,1209.81,1277.12
cell_274,1212.61,1190.64
cell_275,1213.56,1555.16
cell_276,1213.64,1631.79
cell_277,1214,1659.4
cell_278,1214.91,1108.76
cell_279,1215.27,1286.47
cell_280,1215.5,1610.43
cell_281,1216.2,1125.3
cell_282,1216.94,1484
cell_283,1217.18,1990.81
cell_284,1217.25,2118.36
cell_285,1217.67,1080.1
cell_286,1217.84,1252.45
cell_287,1218.86,908.59
cell_288,1219.15,1227.84
cell_289,1219.99,1356.4
cell_290,1220.32,1214.92
cell_291,1222.91,1663.7
cell_292,1225.23,2013.75
cell_293,1225.82,1616.44
cell_294,1225.98,1072.53
cell_295,1226.99,1260.17
cell_296,1227.42,1207.21
cell_297,1229.96,1639.04
cell_298,1230.02,1559.41
cell_299,1230.43,1575.14
cell_300,1230.93,1272.23
cell_301,1231.41,1092.96
cell_302,1231.53,1308.54
cell_303,1231.83,1326.87
cell_304,1232.22,1171.29
cell_305,1233.03,1670.24
cell_306,1234.03,1148.14
cell_307,1235.75,1291.83
cell_308,1236.42,1612.17
cell_309,1238.01,1199.18
cell_310,1238.04,1631.75
cell_311,1238.13,1650.18
cell_312,1238.35,973.31
cell_313,1238.7,1602.36
cell_314,1238.73,1129.65
cell_315,1239.21,1245.27
cell_316,1240.07,1218.8
cell_317,1240.7,1270.08
cell_318,1241.24,1373.79
cell_319,1243.09,1673.16
cell_320,1243.83,1522.28
cell_321,1245.26,1081.35
cell_322,1246.04,1453.74
cell_323,1246.22,2155.39
cell_324,1246.95,1115.63
cell_325,1247.76,1201.18
cell_326,1248.62,1262.79
cell_327,1248.69,1253.19
cell_328,1249.27,1650.24
cell_329,1249.58,1130.76
cell_330,1252.39,1182.77
cell_331,1252.51,1627.64
cell_332,1253.13,1667.75
cell_333,1253.2,1573.73
cell_334,1253.39,1593.05
cell_335,1253.77,1155.14
cell_336,1254.13,1168.11
cell_337,1254.45,1093.77
cell_338,1255.16,1877.27
cell_339,1255.6,1110.08
cell_340,1258.06,1206.06
cell_341,1258.63,1479.37
cell_342,1260.04,902.08
cell_343,1261.01,1224.26
cell_344,1261.15,1249.68
cell_345,1261.66,1615.11
cell_346,1261.88,1343.43
cell_347,1262.18,1194.51
cell_348,1262.35,1240.11
cell_349,1262.72,1128.83
cell_350,1263.66,1258.95
cell_351,1264.41,1523.3
cell_352,1264.44,1156.48
cell_353,1264.61,1554.97
cell_354,1264.97,1100.53
cell_355,1265.07,1298.22
cell_356,1266.71,1584.46
cell_357,1268.09,1669.6
cell_358,1269.01,1146.11
cell_359,1269.1,891.13
cell_360,1270.41,1363.07
cell_361,1270.85,1175.57
cell_362,1271.12,911.61
cell_363,1272.46,1108.59
cell_364,1272.5,1253.94
cell_365,1272.73,1402.55
cell_366,1273.04,2094.46
cell_367,1273.14,1282.15
cell_368,1275.13,1633.67
cell_369,1275.74,2148.6
cell_370,1277.01,1137.37
cell_371,1277.08,926.4
cell_372,1278.12,1195.37
cell_373,1278.89,1166.68
cell_374,128.9,1069.88
cell_375,1281.15,1659.18
cell_376,1281.4,1224.94
cell_377,1281.41,1597.13
cell_378,1281.42,1609.56
cell_379,1282.07,939.23
cell_380,1282.54,1145.72
cell_381,1282.54,974.83
cell_382,1284.01,1104.52
cell_383,1285.86,1255.51
cell_384,1286.68,1475.71
cell_385,1287.58,1347.57
cell_386,1287.66,1277.16
cell_387,1288.78,1627.94
cell_388,1290.19,1651.9
cell_389,1291.21,1576.81
cell_390,1291.43,1267.46
cell_391,1291.52,2111.15
cell_392,1292.36,1510.69
cell_393,1292.98,1296.83
cell_394,1293.54,1075.99
cell_395,1293.92,1138.05
cell_396,1294.06,1566.76
cell_397,1294.9,1589.35
cell_398,1295.79,1213.46
cell_399,1295.97,1238.91
cell_400,1296.96,1127.18
cell_401,1297.51,1224.33
cell_402,1299.34,1617.24
cell_403,1299.67,1524.97
cell_404,1300.03,1082.85
cell_405,1300.83,1648.27
cell_406,1301.92,1174.6
cell_407,1302.89,2124.65
cell_408,1303.49,2394.54
cell_409,1303.59,1259.44
cell_410,1304.03,1116.86
cell_411,1304.85,899.77
cell_412,1304.86,1247.56
cell_413,1304.97,1128.66
cell_414,1305.53,2142.75
cell_415,1305.98,1090.76
cell_416,1308.59,1187.71
cell_417,1309.35,1626.41
cell_418,1309.63,1581.63
cell_419,1309.65,1330.58
cell_420,1312.5,1203.39
cell_421,1313.75,1214.96
cell_422,1313.8,1591.81
cell_423,1314.09,1129.32
cell_424,1314.12,1390.19
cell_425,1315.18,1604.3
cell_426,1315.69,2110.65
cell_427,1315.7,966.36
cell_428,1315.74,1225.11
cell_429,1316.28,1145.85
cell_430,1316.52,1168.75
cell_431,1316.6,1572.92
cell_432,1318.27,1453.13
cell_433,1318.93,1519.19
cell_434,1319.38,1641.44
cell_435,1319.71,1189.65
cell_436,1320.61,1318.34
cell_437,1323.76,1631.49
cell_438,1324.68,1284.72
cell_439,1325.01,1105.7
cell_440,1325.57,1147.04
cell_441,1327.09,1654.88
cell_442,1328.28,1620.93
cell_443,133.87,2482.07
cell_444,1330.35,1160.3
cell_445,1331.34,1174.59
cell_446,1332.41,1132.2
cell_447,1333.2,2141.95
cell_448,1333.56,1563.15
cell_449,1333.59,1265.73
cell_450,1334.18,1486.59
cell_451,1334.34,1638.22
cell_452,1334.35,895.05
cell_453,1334.39,1500.8
cell_454,1335.91,1077.17
cell_455,1336.91,1587.33
cell_456,1337.55,1280.97
cell_457,1337.86,1141.16
cell_458,1339.43,2117.99
cell_459,1339.58,1208.89
cell_460,1339.61,1198.93
cell_461,1340.21,1518.91
cell_462,1340.79,1627.44
cell_463,1340.89,1725.07
cell_464,1341.62,1604.94
cell_465,1341.67,1098.21
cell_466,1342.04,1112.42
cell_467,1342.76,1741.54
cell_468,1343.95,1220.09
cell_469,1343.97,1415.27
cell_470,1345.97,1241.3
cell_471,1346.49,1176.14
cell_472,1347.4,1535.99
cell_473,1348.23,1122.56
cell_474,1348.8,1257.89
cell_475,1348.94,1752.54
cell_476,135.37,110.21
cell_477,1350.05,1229.14
cell_478,1350.21,1056.72
cell_479,1350.39,1200.19
cell_480,1352.26,773.24
cell_481,1352.58,1624.28
cell_482,1352.76,746.04
cell_483,1353.13,1613.91
cell_484,1354.48,2144.19
cell_485,1354.93,1772.11
cell_486,1355.77,1101.71
cell_487,1355.98,1151.01
cell_488,1356.4,1482.18
cell_489,1356.56,1743.12
cell_490,1358.1,1245.93
cell_491,1358.27,2116.63
cell_492,1358.37,1571.02
cell_493,1359.21,1581.5
cell_494,1359.5,1633.77
cell_495,1360.18,1262.62
cell_496,1360.85,1116.4
cell_497,1361.03,1503.17
cell_498,1361.74,1653.76
cell_499,1362.78,1282.56
cell_500,1362.96,1362.64
cell_501,1363.42,1070.99
cell_502,1365.47,1211.77
cell_503,1365.67,2134.05
cell_504,1365.69,1519.06
cell_505,1366.98,1194.26
cell_506,1367.59,1177.14
