,Zm00001d028401,Zm00001d049179,Zm00001d035082,Zm00001d031463,Zm00001d039173,Zm00001d006010,Zm00001d033861,Zm00001d043589,Zm00001d040260,Zm00001d048201,Zm00001d024281,Zm00001d018024,Zm00001d018742,Zm00001d034112,Zm00001d033673,Zm00001d044228,Zm00001d028398,Zm00001d025944,Zm00001d048082,Zm00001d005454,Zm00001d015737,Zm00001d020620,Zm00001d020910,Zm00001d031913,Zm00001d039432,Zm00001d042217,Zm00001d018775
cell_1,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0,1,0,0,2,0,0,1,0,3,0,0
cell_2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cell_3,0,0,0,0,2,0,0,0,0,0,0,0,1,11,1,1,0,0,0,0,0,0,0,0,0,0,0
cell_4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cell_5,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_6,0,0,3,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0
cell_7,1,0,1,0,0,1,0,0,0,0,0,1,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0
cell_8,2,0,0,1,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cell_9,0,0,2,1,2,0,0,4,2,0,0,1,1,4,2,0,2,1,0,0,0,0,1,0,2,0,0
cell_10,0,0,3,1,1,0,0,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cell_11,2,0,0,0,0,0,0,0,0,0,0,2,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0
cell_12,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
cell_13,0,0,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
cell_14,5,0,13,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,4,0,0,6,0,0,0
cell_15,0,0,9,2,0,0,1,4,0,1,0,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0
cell_16,0,0,0,0,0,0,0,0,0,0,0,1,4,6,2,0,0,0,0,0,0,0,1,0,0,0,0
cell_17,0,0,3,1,0,0,0,1,0,5,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cell_18,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,5,0,0
cell_19,3,0,6,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,3,0,0,0
cell_20,0,0,3,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
cell_21,0,0,8,1,1,0,2,3,0,4,0,4,1,3,0,0,1,0,0,0,4,0,0,0,0,0,0
